#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_RoI_10011;Az én [GetFromRelation] [From.GetFirstName], [From.Reincarnation.GetTitledFirstName] által újjászületett, habár inkább úgy viselkedik [From.GetPossPronoun] nap, mint nap, mint a korábbi reinkarnációja! [From.GetFirstName] sokkal inkább [From.Reincarnation.GetFirstName] személyiségjegyeit mutatja...;Notre [GetFromRelation] [From.GetFirstName], réincarnation de [From.Reincarnation.GetTitledFirstName], se comporte chaque jour davantage comme sa précédente incarnation ! [From.GetFirstName] est clairement en train d'exprimer un autre aspect de la personn;Mein [GetFromRelation] [From.GetFirstName], die Wiedergeburt von [From.Reincarnation.GetTitledFirstName], verhält sich mehr und mehr wie [From.GetPossPronoun] vorherige Inkarnation! [From.GetFirstName] legt definitiv ein weiteres Persönlichkeitsmerkmal vo;; Mi [GetFromRelation] [From.GetFirstName], [From.Reincarnation.GetTitledFirstName] renacido, está actuando cada día más más como [From.GetPossPronoun] encarnación anterior.  [From.GetFirstName] está sin duda expresando otra de [From.Reincarnation.GetFirstName] características de personalidad ...;;;;;;;;;x
form_the_hre;A Szent Római Birodalom létrehozása;Constituer le Saint-Empire romain germanique;Errichtet das Heilige Römische Reich;;Del Sagrado Imperio Romano;;;;;;;;;x
form_the_hre_desc;Egy birodalommal, ami Nagy Károlyéval vetekszik, elismertethetném magamat az õ örökösének, a Translatio Imperii-nél (azaz a hatalom átruházásánál) fogva pedig [Root.RelHead.GetBestName] megkoronázhatna a nyugat új Római Birodalmának császárává!;Si j'avais un royaume rivalisant avec celui de Charlemagne, on pourrait me reconnaître comme son véritable successeur. En invoquant le principe de Translatio Imperii, je pourrai faire en sorte que [Root.RelHead.GetBestName] me couronne empereur d'un nouve;Mit einem Reich, das dem von Karl dem Großen gleichkommt, könnte ich als sein wahrer Nachfolger gelten und mich durch die Anrufung der Translatio Imperii von [Root.RelHead.GetBestName] zum Kaiser des neuen Römischen Imperiums des Westens krönen lassen!;; Con un reino para rivalizar con el de Carlomagno, yo podría ser reconocido como su verdadero sucesor e, invocando a Translatio Imperii, que [Root.RelHead.GetBestName] me corone emperador de un Nuevo Imperio Romano en el oeste!;;;;;;;;;x
buddhist_DESC;A buddhizmust a történelmi Buddha hívta életre, Gautama Sziddhártha, Észak-Nyugat-Indiában a Kr.u. V. században. Indiában több, mint 1500 éven át virágzott a buddhizmus, könyvtárak és óriási kolostorok épültek minden felé, mígnem a muszlim invázió és a brahmin kaszt erõsödése kiûzte õket a szubkontinensrõl. A játékban a buddhisták jelentõs Tudás bónuszt kapnak, ami azt jelenti, hogy gyorsabban fejlesztik ki az új technológiákat. Meghatározó tulajdonságaik a játékon belül:\n§Y*§! Nincs vallási vezetõ\n§Y*§! Kaszt jellemzõk nem számítanak\n§Y*§! Buddhisták Tudás bónuszt kapnak\n§Y*§! Minden indiai vallás ellen hódoltatási háborút indíthatnak\n§Y*§! Korlátozott Szent Háborúkat kezdhetnek más, nem indiai vallások ellen\n§Y*§! Nehezen térnek meg a dzsainista és hindu grófságok\n§Y*§! Minden elfogadott gyermek örökösnek jelölhetõ;Le bouddhisme a été fondé par le Bouddha, Siddhartha Gautama, dans le nord de l'Inde au Ve siècle avant Jésus Christ. Cette religion s'est développée en Inde pendant plus de 1500 ans par la construction de gigantesques bibliothèques et de grands monastère;Der Buddhismus wurde von Buddha Siddhartha Gautama im nordöstlichen Indien im 5. Jahrhundert v. Chr. begründet. Die Religion gedieh in Indien mehr als 1500 Jahre lang, wobei  große Bibliotheken und Klosterkomplexe erbaut wurden, bis die Buddhisten durch m;; El Budismo fue fundado por el Buda, Siddhartha Gautama, en el noreste de la India en el siglo quinto antes de Cristo. La religión floreció en la India hace más de 1500 años, construyendo enormes bibliotecas y complejos monásticos, hasta las invasiones Musulmanas y el creciente poder de la casta de los Brahmanes que llevaron al Budismo fuera del subcontinente. En el juego, los Budistas consiguen una bonificación significativa por aprendizaje, lo que significa que van a investigar las tecnologías más rápido. Definición de las características del juego: No hay jefe religioso.  Las características de Casta no importan. Los Budistas reciben un considerable bono de aprendizaje. Se pueden declarar guerras de subyugación contra todas las religiones Indias.  Se pueden declarar Guerras Santas limitadas contra las religiones que no son Indias. Es duro convertir condados jainistas e hindúes. Se puede designar cualquier descendiente válido como heredero;;;;;;;;;x
jain_DESC;A dzsainizmus elképesztõ régre nyúlik vissza, egészen az Indus völgyi civilizációkig.  Ellenszegül a vallásos brahminoknak és a kasztrendszernek. A vallás vezérelve az ahimsza - erõszakmentesség -, amit sokkal radikálisabban alkalmaznak, mint más vallások. A játékban dzsainista uralkodóknak nehéz támadó háborút vívniuk, de a bámulatos toleranciájuk miatt a dzsainista uralkodókat nagyon kedvelik. Meghatározó tulajdonságaik a játékon belül:\n§Y*§! Nincs vallási vezetõ\n§Y*§! Kaszt jellemzõk nem számítanak\n§Y*§! Nem indíthatnak Szent Háborút\n§Y*§! Hódoltatási háborút indíthatnak más indiai vallások ellen\n§Y*§! Sokkal kisebb a grófsági lázadások veszélye\n§Y*§! Jelentõs bónusz a hûbérurak véleményéhez\n§Y*§! Uralkodók nagy birtokokkal rendelkezhetnek\n§Y*§! Minden elfogadott gyermek örökösnek jelölhetõ.;Le jaïnisme est une religion qui remonte à la nuit des temps, à l'antique tradition des ascètes shramana en Inde, par opposition aux prêtres brahmanes et au système de castes. Le principe au cœur du jaïnisme s'appelle l'ahimsa, la non-violence, interprété;Jainismus ist eine Religion mit unglaublich alten Ursprüngen und entstammt der asketischen Sramana-Tradition aus Indien, im Gegensatz zu den Brahmanen und dem Kastensystem. Der leitende Prinzip des Jainismus ist Ahimsa, die Gewaltlosigkeit, welches radika;; El jainismo es una religión increíblemente antigua, derivada de la tradición ascética Sramana de la India, en oposición a los sacerdotes Brahmanes  y el sistema de castas. La pauta principal del Jainismo es Ahimsa - la no violencia - que se interpreta más radicalmente que en cualquier otra religión. En el juego, los Jainistas tienen dificultades para librar guerras ofensivas, pero su notable tolerancia significa que los gobernantes Jainistas son muy apreciados por todos. Definición de las características del juego: No hay jefe religioso.  Las características de Casta no importan. No se pueden declarar guerras santas. Se pueden declarar guerras de subyugación contra todas las religiones Indias.  Probabilidad mucho menor de rebeliónes provinciales. Grandes bonificaciones por todas las opiniones de los vasallos. Los gobernantes pueden tener mayor heredad. Se puede designar cualquier descendiente válida como heredero;;;;;;;;;x
IndiaDLC;Rajas of India;Rajas of India;Radschas von Indien;;Rajás de la India;;;;;;;;;x
TurkishUnitPackDLC;Turkish Unit Pack;Pack d'unités turques;Türkische Einheiten Paket;;Paquete de unidad turco;;;;;;;;;x
TurkishPortraitDLC;Turkish Portraits;Portraits turcs;Türkische Porträts;;Retratos Turcos ;;;;;;;;;x
SongsOfIndiaDLC;Songs of India;Chants de l'Inde;Lieder aus Indien;; Cantos de India;;;;;;;;;x
opinion_vassal_king;Hûbéres király;Roi vassal;Vassallenkönig;;Rey Vasallo;;;;;;;;;x
