#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HAS_NOT_LOVER;Nincs szeretõje;N’a pas d’amant(e);Hat keinen Lover;;No tiene un amante;;;;;;;;;x
HAS_LOVER;Szeretõje van;A un amant(e);Hat Lover;;Tiene un amante;;;;;;;;;x
FAM_IN_LAWS;Házassági kötelék;Liens du mariage;Ehebünde;;Vinculos matrimoniales;;;;;;;;;x
REL_LOVER;Szeretõ;Amant(e);Lover;;Amante;;;;;;;;;x
TRIGGER_LOVER;Szeretõ;Amant(e);Lover;;Amante;;;;;;;;;x
BREAK_AFFAIR_EFFECT;$WHO$ szakított §Y$SPOUSE$§W nevû kedvesével.\n;$WHO$ rompt avec §Y$SPOUSE$§W.\n;$WHO$ trennt sich von §Y$SPOUSE$§W.\n;;$WHO$ rompe con §Y$SPOUSE$§W.\n;;;;;;;;;x
ADD_LOVER_EFFECT;$WHO$ szerelembe esett §Y$SPOUSE$§W nevû szerelmével.\n;$WHO$ s'amourache de §Y$SPOUSE$§W.\n;$WHO$ verliebt sich in §Y$SPOUSE$§W.\n;;$WHO$ se enamora de §Y$SPOUSE$§W.\n;;;;;;;;;x
EVTDESC3315;Üvöltve ébredek az éjszaka közepén. A sötétség megrémiszt és azon töprengek, hogy fogom a hadjáratot átvészelni.;Je me réveille en pleine nuit en criant. L’obscurité m’effraie. Je me demande comment je vais supporter cette campagne.;Ich wache des Nächtens schreiend auf. Die Dunkelheit ängstigt mich, und ich frage mich, wie ich diesen Feldzug überstehen soll.;;Me despierto gritando por la noche. La oscuridad me asusta y sigo preguntándome cómo resistiré esta campaña.;;;;;;;;;x
EVTOPTA3315;Szerintem biztos meghallottak.;Je crois que quelqu’un a tout entendu.;Ich glaube, jemand hat mich gehört;;Creo que alguien me oyó;;;;;;;;;x
EVTOPTB3315;A katonáim nem tisztelnek.;Je vais perdre le respect de mes soldats.;Meine Soldaten werden mich nicht respektieren.;;Mis soldados no me respetarán.;;;;;;;;;x
EVTDESC60004;A Nagy Khagan több harcost küldött, hogy segítse a hódításunk!;Le grand Khagan a envoyé des guerriers supplémentaires pour participer à notre conquête !;Der Großkhan hat mehr Krieger für unsere Eroberung geschickt!;;¡El Gran Khan ha enviado más guerreros para apoyar nuestra conquista!;;;;;;;;;x
EVTOPTA40021;Garantálni fogom [From.GetObjectPronoun] követeléseit az elkövetõ titulusaira.;Je vais lui accorder les titres du coupable.;Ich werde [From.GetObjectPronoun] einen Anspruch auf die Titel des Täters gewähren.;;Le concederé una reclamación sobre los títulos del autor.;;;;;;;;;x
#DECLARE_WAR_INTERACTION_0;A fegyverszünet megsértése (véget ér: §Y$DATE$§!) §R$PRESTIGE$§! tekintély veszteséget okoz és csökkenti a [Recipient.Religion.GetGroupName] uralkodók véleményét rólunk §R$OPINION$§! Ponttal.;Une rupture de la trêve (qui se termine le §Y$DATE$§!) nous coûterait §R$PRESTIGE$§! en prestige et réduirait de §R$OPINION$§! l’opinion que tous les souverains [Recipient.Religion.GetGroupName] ont de nous.;Ein Bruch des Waffenstillstands (endet am §Y$DATE$§!) würde uns §R$PRESTIGE$§! Prestige kosten und die Meinung sämtlicher [Recipient.Religion.GetGroupName]-Herrscher über uns um §R$OPINION$§! verringern;;Romper la tregua (acaba el §Y$DATE$§!) nos costaría §R$PRESTIGE$§! de prestigio y una reducción de un §R$OPINION$§! de la opinión sobre nosotros de todos los gobernantes de [Recipient.Religion.GetGroupName].;;;;;;;;;x
SETTLEMENT_YOUNGER_THAN;A település kevesebb, mint $AGE$ éves.\n;Colonie de moins de $AGE$ ans.\n;Siedlung weniger als $AGE$ Jahre alt.\n;;Población de menos de $AGE$ años.\n;;;;;;;;;x
SETTLEMENT_AT_LEAST;A település több, mint $AGE$ éves.\n;Colonie d’au moins $AGE$ ans.\n;Siedlung mindestens $AGE$ Jahre alt.\n;;Población de al menos $AGE$ años.\n;;;;;;;;;x
AIREASON_IS_GUARDIANS_CHILD;A gyám §Y[GetTitledFirstName]§! szülõje.;Le tuteur est le parent de : §Y[GetTitledFirstName]§!;Vormund ist ein Elternteil von §Y[GetTitledFirstName]§!;;¡El guardián es el padre de §Y[GetTitledFirstName]§!;;;;;;;;;x
