#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
temple_baron_west_african_pagan;Pap;Prêtre;Priester;;Sacerdote;;;;;;;;;x
temple_baron_west_african_pagan_reformed;Pap;Prêtre;Priester;;Sacerdote;;;;;;;;;x
temple_baron_female_west_african_pagan;Papnõ;Prêtresse;Priesterin;;Sacerdotisa;;;;;;;;;x
temple_baron_female_west_african_pagan_reformed;Papnõ;Prêtresse;Priesterin;;Sacerdotisa;;;;;;;;;x
MATCHMAKING_REFRESH_LAN_STOP;Frissítés leállítása;;;;;;;;;;;;;x
VS_REL_ENEMY;Sebzés vallási ellenségek ellen;Massacre ses ennemis religieux;Schaden gegen religiöse Feinde;;Daño producido a un enemigo religioso;;;;;;;;;x
EXILE_IMPRISONED_INTERACTION_3;A számûzés §R$PIETY$§! $PIETYNAME$ értékbe fog kerülni neked.;L'exil vous coûtera §R$PIETY$§! en $PIETYNAME$.;Die Verbannung wird Euch §R$PIETY$§! $PIETYNAME$ kosten.;;La Destierro te costará §R$PIETY$§! de $PIETYNAME$.;;;;;;;;;x
S_TRO;ST;ST;ST;;ST;;;;;;;;;x
defenderbonus_jungle;Dzsungel;Jungle;Dschungel;;Jungla;;;;;;;;;x
HAS_AUTOCEPHALY;Autocefália van;A l'autocéphalie;Hat Autokephalie;;Tiene Autocefalía;;;;;;;;;x
HAS_NOT_AUTOCEPHALY;NINCS autocefália;N'a pas d'autocéphalie;Hat NICHT Autokephalie;;No tiene Autocefalía;;;;;;;;;x
